label,text
1,"Today, I voted against H.R. 1. This bill is a deliberate attempt by the House Democratic Majority to suppress First Amendment rights, spend taxpayer dollars and empower Washington bureaucrats – all under the guise of election reform.  https://flores.house.gov/news/documentsingle.aspx?DocumentID=399197"
0,It's difficult to find the words for what we witnessed on the Texas border. I spoke with Joy Reid on @AMJoyShow about what we saw. Make no mistake: Family separations are still happening. http://pbs.twimg.com/media/DiuLUYwVMAAaMk_.jpg https://video.twimg.com/amplify_video/1021058567988629504/vid/320x180/YOqXj-ht9vTrC-BA.mp4?tag=3
1,I am proud to spotlight Novella Taunesha Gardmer of Back Creek Christian High School http://pbs.twimg.com/media/D22SQfIW0AA5i4h.jpg
0,"Devastated to hear about another terrible attack in #Somalia. I strongly condemn this violence, which should have has no place in our world. https://twitter.com/StarTribune/status/924523192336519168 QT @StarTribune 23 dead, more than 30 wounded in Mogadishu hotel attack http://strib.mn/2zV463A"
0,@solopoloyolo @smmich @cspan @SpeakerPelosi Ask #SpeakerPelosi.  I believe in Free Press per Amendment I of our Constitution.  Why won’t the Speaker let CSPAN show the public the vote boards?  Must be 2020 politics. Just like #ShamImpeachment! http://pbs.twimg.com/media/EMG-c2cWsAAKt6r.jpg
0,"I'm listening to a heated 6-yr-old argument about which color everyone hates.

(apparently it's GREEN)"
1,"Last night, I discussed what I am doing in Congress to help the people of my district to the Newark City Council. http://pbs.twimg.com/media/EO-YBWNX4AQ1jF9.jpg"
1,"I am pleased to be on the latest episode of the Tooth Talk Podcast - talking about my time so far in Congress and the latest dental news. Listen below!

http://toothtalkshow.com/"
0,"I am so incredibly fortunate that my very first Congressional interns have been so outstanding. Thank you, Karoun and Adam, for your hard work. You will always be a part of Team Levin, @aillowsky and @k_tcholakian! http://pbs.twimg.com/media/D6JhvMDWsAEMGPv.jpg"
1,I always look forward to hearing from Oklahomans during a #TelephoneTownHall. Join me on Monday at 7pm CDT by dialing 877-229-8493 and using the passcode: 111439 to talk with me about what matters to #OK2. http://pbs.twimg.com/media/DYR3_fGX4AArw-t.jpg
1,I'll be on Fox's @AmericaNewsroom this morning at 11:40 discussing the long overdue name change of the Washington football team and the fight for #DCStatehood.
1,"@julieformusic .@julieformusic, my office and I are making phone calls right now. Please DM us to give us the latest. I will do everything possible to make sure your mom is helped."
1,I’ve gone to the Senate floor almost 100X to share Dreamers' stories — they deserve a fair shot at the American Dream. #defendDACA
0,I’m honoring our veterans this #MemorialDay @VAPhiladelphia! https://www.facebook.com/events/701670830594685/
1,"This morning, I and other Members of Congress were briefed by Governor DeSantis, the National Hurricane Center, FEMA, the Florida Dept. of Emergency Management, and the Red Cross ahead of Hurricane Dorian’s expected impact on Coastal and Central Florida."
0,"I appreciate Linde Corporation for allowing me to tour their facility today in Pittston. Linde is a home-grown business and an outstanding partner to our natural gas industry, helping to ensure we have clean and affordable energy. #PA12 http://pbs.twimg.com/media/EdFaa3pX0AA9NiK.jpg http://pbs.twimg.com/media/EdFadIIWAAAUPhS.jpg"
0,I enjoyed touring @TexasOncology yesterday &amp; discussing important issues facing #TX32 doctors including combating the opioid epidemic. http://pbs.twimg.com/media/DH12JbuXsAAFViq.jpg
0,Love this! I’ve gone fishing with veterans in the Eastern Panhandle and know this program is life changing for so many! https://www.dominionpost.com/2020/07/11/healing-those-who-serve-project-healing-waters-brings-peace-to-wounded-combat-veterans-with-fly-fishing/
,I enjoyed welcoming voters to the polls this morning in Peoria! #AZ08 🇺🇸 http://pbs.twimg.com/media/DrWKN-NVAAA73XM.jpg http://pbs.twimg.com/media/DrWKN-MVsAAmw7S.jpg
1,I love that South Dakota REC invests in our kids and helps them experience our Capitol! Very neat. http://pbs.twimg.com/media/Dfqf37iXcAA36UI.jpg http://pbs.twimg.com/media/Dfqf37hW4AA8AIy.jpg http://pbs.twimg.com/media/Dfqf37hW0AEjs4N.jpg http://pbs.twimg.com/media/Dfqf37gWsAAESir.jpg
0,"Having served in Congress with several members of the Kennedy Family, including Congressman Joe Kennedy II, and currently with son Congressman Joe Kennedy III, and with the late great Senator Ted Kennedy, I know them to be true Public servants..."
1,I have a #coronavirus Info Center with preventative measures and links to the latest updates in both English &amp; Spanish on my website: https://haaland.house.gov/coronavirus-info-center
0,"I toured the Minneapolis VA Hospital today with our Veterans Outreach Fellow, Angelo, to ensure that our active-duty soldiers and veterans have access to quality health care, including mental health care that they deserve. http://pbs.twimg.com/media/ESdrgB0WkAUSNnu.jpg"
0,Wishing you and your family a very Merry Christmas! I hope your holiday is filled with joy and shared with those you love. http://pbs.twimg.com/media/Du36i4GWwAA7sCJ.jpg
1,I'll be live w/ @BumpColley on @topstoryklix at 9:15 am MT. Topic: my new #refugee reform bill. Tune in: https://t.co/YztLW1Sqio
0,"Kabuki theatre to cover up for the President’s illegal action.. https://twitter.com/Acosta/status/1228081772518412288 QT @Acosta Trump is not upset with Barr after his comments to ABC, I’m told."
1,"Standing in solidarity with gig workers striking today, I'm calling on the CEOs of @Uber, @Lyft, @Instacart and @DoorDash to guarantee personal protective equipment, hazard pay and permanent paid sick leave for all their workers. http://kennedy.house.gov/newsroom/press-releases/kennedy-to-gig-economy-execs-protect-your-workers"
1,"Today, I joined my California Republican colleagues in sending a joint letter to our California Democratic colleagues urging a bipartisan approach to ensuring wildfire disaster victims in our state receive the aid they need. http://pbs.twimg.com/media/DwlJVwvXQAA6v5r.jpg"
1,"I am immensely proud of the CARES Act signed into law today and how hard House Democrats are fighting to help families, workers, small businesses and others survive the multiple adverse impacts of #COVID19.
http://wilson.house.gov/media-center/press-releases/congresswoman-wilson-applauds-passage-of-historic-families-workers-first"
1,"I'm addressing students today at St. Francis College. 

You can tune in by clicking here https://www.facebook.com/SFCNY/"
1,The President's #1 priority is to protect this nation and all he was asking for is a short period of time to make sure he can keep the country safe. I fully supported that.
1,I've discussed these issues with my colleagues in Congress and will continue to push for needed change.
1,Thank you @Heritage Sentinels for your support. I'm eager to enact PERMANENT tax reform to continue our country's economic momentum. Always a great conversation. http://pbs.twimg.com/media/DloJ4STW4AAS2y8.jpg
1,"It’s clear that e-cigarettes are a major threat to public health. That’s why I’ve not only introduced comprehensive legislation to curb the youth tobacco epidemic, I’ve also launched an investigation into electronic cigarette manufacturers.
https://pallone.house.gov/media/press-releases/pallone-statement-rise-vaping-related-deaths-and-illnesses"
1,"I’m at the Interior Department, about to testify before @whceq about its proposed regulations that would drastically change the way we implement the National Environmental Policy Act, one of our nation’s bedrock environmental laws. #ProtectNEPA http://pbs.twimg.com/media/ERodiBPW4AMa3OD.jpg"
0,I—and most of my colleagues—need to admit our white privilege. But that admission and reflection must translate to policy change or we'll be right back to where we were.
1,"I am proud to work with my colleagues in @TheBlackCaucus, @HouseJudiciary, and @HouseDemocrats to bring forth a comprehensive plan to address the systemic racism and bias in policing towards the Black community. http://pbs.twimg.com/media/EaAqwccWkAcbz2m.jpg http://pbs.twimg.com/media/EaAqwccWsAUHuHn.jpg"
0,This is my 6th year working the assembly line for the annual Socks for Veterans event. I have a deep appreciation for our Veterans. I am grateful for their sacrifice and dedication to this country. http://pbs.twimg.com/media/EOlqvPXXkAM4rSb.jpg
0,"How cool it is that on a Saturday night you are all here talking politics. I have a feeling that if more people were doing this, we'd have a better chance of holding our elected officials accountable. #utpol #CurtisTownHall"
0,"I am seriously concerned about the rollout process of the Economic Impact Payments for the most vulnerable. And now, more Americans are being forced to shoulder the burden of another rushed deadline."
1,"It’s been close to a year since the last government shutdown, yet contractors have still not been paid.

I’m taking to the Senate floor to demand #BackPayNOW. https://twitter.com/i/broadcasts/1nAKEZkLwdgGL"
1,"ICYMI: Monday night, I joined @FourFreedomsNYC to talk about the coronavirus pandemic, and why I'm pushing for a stronger federal response. #tbt 

https://www.newyorkcountypolitics.com/2020/03/25/maloney-seawright-hold-virtual-town-hall-on-covid-19/"
